image,mask,source
datasetsss/Water Bodies Dataset/Images/water_body_7255.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7255.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_978.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_978.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1830.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1830.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1283.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1283.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7188.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7188.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8861.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8861.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1681.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1681.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1505.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1505.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_796.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_796.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8673.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8673.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2450.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2450.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8917.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8917.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8003.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8003.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_680.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_680.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7647.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7647.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1084.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1084.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1795.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1795.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_717.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_717.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_877.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_877.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7415.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7415.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7228.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7228.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7248.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7248.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1336.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1336.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7866.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7866.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1460.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1460.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1709.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1709.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8855.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8855.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_644.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_644.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8461.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8461.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8162.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8162.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8698.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8698.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7837.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7837.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7603.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7603.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7673.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7673.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7330.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7330.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1652.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1652.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1130.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1130.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8372.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8372.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8742.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8742.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2358.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2358.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7582.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7582.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1250.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1250.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8304.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8304.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1455.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1455.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1650.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1650.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8560.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8560.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8883.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8883.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1237.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1237.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1515.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1515.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1128.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1128.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1107.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1107.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2318.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2318.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8035.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8035.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1758.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1758.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7571.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7571.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1665.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1665.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8689.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8689.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2332.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2332.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_6368.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_6368.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8472.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8472.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1133.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1133.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8711.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8711.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1637.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1637.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7480.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7480.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8922.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8922.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1443.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1443.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7891.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7891.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7969.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7969.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7222.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7222.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8004.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8004.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8646.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8646.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1560.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1560.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8769.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8769.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_760.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_760.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8643.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8643.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2567.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2567.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8706.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8706.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7237.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7237.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1787.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1787.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7318.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7318.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_615.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_615.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1450.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1450.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8791.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8791.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8319.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8319.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8001.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8001.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2274.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2274.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2560.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2560.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7048.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7048.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7940.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7940.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7098.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7098.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1761.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1761.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7321.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7321.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7352.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7352.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2207.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2207.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8891.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8891.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2173.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2173.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8207.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8207.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_911.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_911.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8712.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8712.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1771.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1771.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_3.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_3.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_95.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_95.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8377.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8377.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_605.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_605.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7677.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7677.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_6389.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_6389.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7245.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7245.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7901.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7901.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1219.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1219.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2427.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2427.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7844.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7844.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8831.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8831.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8056.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8056.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7430.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7430.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7862.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7862.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2515.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2515.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8532.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8532.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8573.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8573.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1721.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1721.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7725.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7725.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1552.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1552.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7525.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7525.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8059.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8059.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8954.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8954.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1059.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1059.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1272.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1272.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7835.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7835.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8554.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8554.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_665.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_665.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1482.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1482.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1584.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1584.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1528.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1528.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_782.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_782.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1710.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1710.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_773.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_773.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1770.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1770.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8423.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8423.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8512.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8512.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2220.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2220.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2443.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2443.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1033.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1033.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2224.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2224.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7692.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7692.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_778.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_778.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_988.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_988.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8851.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8851.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_44.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_44.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7914.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7914.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_882.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_882.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7909.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7909.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_23.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_23.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7549.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7549.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2399.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2399.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8388.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8388.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1065.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1065.jpg,water_bodies
datasetsss/archive (3)/train/614561_sat.jpg,datasetsss/archive (3)/train/614561_mask.png,landcover_agriculture
datasetsss/archive (3)/train/350328_sat.jpg,datasetsss/archive (3)/train/350328_mask.png,landcover_agriculture
datasetsss/archive (3)/train/439854_sat.jpg,datasetsss/archive (3)/train/439854_mask.png,landcover_agriculture
datasetsss/archive (3)/train/412210_sat.jpg,datasetsss/archive (3)/train/412210_mask.png,landcover_agriculture
datasetsss/archive (3)/train/642909_sat.jpg,datasetsss/archive (3)/train/642909_mask.png,landcover_agriculture
datasetsss/archive (3)/train/606370_sat.jpg,datasetsss/archive (3)/train/606370_mask.png,landcover_agriculture
datasetsss/archive (3)/train/820347_sat.jpg,datasetsss/archive (3)/train/820347_mask.png,landcover_agriculture
datasetsss/archive (3)/train/131720_sat.jpg,datasetsss/archive (3)/train/131720_mask.png,landcover_agriculture
datasetsss/archive (3)/train/912087_sat.jpg,datasetsss/archive (3)/train/912087_mask.png,landcover_agriculture
datasetsss/archive (3)/train/947994_sat.jpg,datasetsss/archive (3)/train/947994_mask.png,landcover_agriculture
datasetsss/archive (3)/train/155165_sat.jpg,datasetsss/archive (3)/train/155165_mask.png,landcover_agriculture
datasetsss/archive (3)/train/244423_sat.jpg,datasetsss/archive (3)/train/244423_mask.png,landcover_agriculture
datasetsss/archive (3)/train/536496_sat.jpg,datasetsss/archive (3)/train/536496_mask.png,landcover_agriculture
datasetsss/archive (3)/train/651537_sat.jpg,datasetsss/archive (3)/train/651537_mask.png,landcover_agriculture
datasetsss/archive (3)/train/120625_sat.jpg,datasetsss/archive (3)/train/120625_mask.png,landcover_agriculture
datasetsss/archive (3)/train/444902_sat.jpg,datasetsss/archive (3)/train/444902_mask.png,landcover_agriculture
datasetsss/archive (3)/train/393043_sat.jpg,datasetsss/archive (3)/train/393043_mask.png,landcover_agriculture
datasetsss/archive (3)/train/802645_sat.jpg,datasetsss/archive (3)/train/802645_mask.png,landcover_agriculture
datasetsss/archive (3)/train/889920_sat.jpg,datasetsss/archive (3)/train/889920_mask.png,landcover_agriculture
datasetsss/archive (3)/train/100694_sat.jpg,datasetsss/archive (3)/train/100694_mask.png,landcover_agriculture
datasetsss/archive (3)/train/34567_sat.jpg,datasetsss/archive (3)/train/34567_mask.png,landcover_barren
datasetsss/archive (3)/train/775304_sat.jpg,datasetsss/archive (3)/train/775304_mask.png,landcover_barren
datasetsss/archive (3)/train/124529_sat.jpg,datasetsss/archive (3)/train/124529_mask.png,landcover_barren
datasetsss/archive (3)/train/211739_sat.jpg,datasetsss/archive (3)/train/211739_mask.png,landcover_barren
datasetsss/archive (3)/train/940229_sat.jpg,datasetsss/archive (3)/train/940229_mask.png,landcover_barren
datasetsss/archive (3)/train/503968_sat.jpg,datasetsss/archive (3)/train/503968_mask.png,landcover_barren
datasetsss/archive (3)/train/987079_sat.jpg,datasetsss/archive (3)/train/987079_mask.png,landcover_barren
datasetsss/archive (3)/train/176506_sat.jpg,datasetsss/archive (3)/train/176506_mask.png,landcover_barren
datasetsss/archive (3)/train/772567_sat.jpg,datasetsss/archive (3)/train/772567_mask.png,landcover_barren
